English dialogs,Marathi dialogs,Page no,Strip,Column no,Photo Name,Font Size
"This is a story of Mr Tad Nices
and his quest to find himself.
Being annoyed of his name, 
he calls himself Mr. X","ही मिस्टर टॅड निसेसची कथा आहे
आणि स्वतःला शोधण्याचा त्याचा शोध.
त्याच्या नावाचा राग येऊन,
तो स्वत:ला मिस्टर एक्स म्हणतो",1,1,1,P1R1S1,175
"Mr X is eager to learn 
the meaning of his name & 
he thinks of ways to solve this.","मिस्टर एक्स शिकण्यास उत्सुक आहेत
त्याच्या नावाचा अर्थ
आणि तो सोडवण्याच्या मार्गांचा विचार करतो",1,1,2,P1R1S2,175
"He has thought of a plan to
recruite 3 agents to work for him, 
while he sits and monitors.","
त्यासाठी त्यांनी योजना आखली आहे
त्याच्यासाठी काम करण्यासाठी ३ एजंट्सची नियुक्ती करा,
जेव्हा तो बसतो आणि निरीक्षण करतो.",1,1,3,P1R1S3,175
"Mr X has scouted for his recruits & 
has assigned tasks for them. 
He checks their IDs & sends missions.","मिस्टर एक्स यांनी त्यांच्या भरतीसाठी शोध घेतला आहे आणि
त्यांच्यासाठी कार्ये नियुक्त केली आहेत.
तो त्यांचे आयडी तपासतो आणि मिशन पाठवतो.",1,1,4,P1R1S4,175
"Mr AA, is engrossed in his studies
and is surprised as he gets a mail.","मिस्टर ए.ए., त्याच्या अभ्यासात मग्न आहेत
आणि त्याला एक मेल आल्याने आश्चर्य वाटते.",1,2,5,P1R2S5,175
"Mr NM is on his laptop while he gets 
a notification with an interesting message.","मिस्टर एन. एम. त्याच्या लॅपटॉपवर असतो तेव्हा तो येतो
मनोरंजक संदेशासह एक सूचना.",1,2,6,P1R2S6,175
"Mr AS is busy on his mobile
when an urgent email pops","मिस्टर ए.एस. त्यांच्या मोबाईलवर वेळ 
घालवत आहेत
जेव्हा त्याचा फोन तातडीच्या मेलवर वाजतो.",1,2,7,P1R2S7,175
**Mission Impossible tone plays**,"
**मिशन इम्पॉसिबल टोन प्ले**",1,2,8,P1R2S8,175
"Mr X seems very happy with his choice
& is eager to know how the game unfolds.","
मिस्टर एक्स त्याच्या निवडीबद्दल खूप आनंदी दिसत आहेत
आणि गेम कसा उलगडतो हे जाणून घेण्यासाठी उत्सुक आहे.",1,3,9,P1R3S9,175
"Mr AA is stressed with this email & is 
out to find his companions.","मिस्टर ए.ए. या ईमेलने तणावग्रस्त आहेत
आणि त्याच्या साथीदारांना शोधण्यासाठी 
बाहेर पडा.",1,3,10,P1R3S10,175
"Mr AS wasn't bothered by the email 
& is confident to ace the challenge.","मिस्टर ए.एस. यांना ईमेलचा त्रास झाला नाही
आणि आव्हान पेलण्याचा आत्मविश्वास आहे.",1,3,11,P1R3S11,175
"Mr NM looks like he is planning 
strategies & is on lookout for a team.","मिस्टर एन.एम. असे दिसते की तो आधीच
योजनाबद्ध आहे
रणनीती आणि संघाच्या शोधात आहे.",1,3,12,P1R3S12,175
"After a followup mail with location, 
Recruits have now met to work.","स्थानासह फॉलोअप मेल केल्यानंतर,
हे भर्ती आता काम करण्यासाठी भेटले
आहेत.",1,4,13,P1R4S13,175
"A map with directions is their hint to
connect dots with upcoming tasks.","दिशानिर्देशांसह नकाशा हा त्यांचा प्रारंभ
करण्याचा इशारा आहे
आणि आगामी कार्यांसह ठिपके कनेक्ट करा.",1,4,14,P1R4S14,175
"The trio is finding ways to decode the map
to find ""Dua Lipa"" steps to solve the tasks.","त्रिकूट नकाशा डीकोड करण्याचे मार्ग शोधत आहेत
कार्ये सोडवण्यासाठी ""डुआ लिपा"" पायऱ्या शोधण्यासाठी.",1,4,15,P1R4S15,175
"After deliberating till night, the boys are off
to take the first step and reach the portal. ","रात्रीपर्यंत विचारपूस करून मुलं निघून जातात
पहिले पाऊल टाकण्यासाठी आणि पोर्टलवर पोहोचण्यासाठी.",1,4,16,P1R4S16,175
"Here they are at the portal entrance. 
Press the Northeastern shield and 
they'll be transported to a new world.","येथे ते पोर्टलच्या प्रवेशद्वारावर आहेत.
ईशान्य ढाल दाबा आणि
त्यांना एका नवीन जगात नेले जाईल.",2,1,1,P2R1S1,175
"A tumble down the hypnotic portal. 
They start working to find clues.","कृत्रिम निद्रा आणणारे पोर्टल खाली कोसळले
त्यांना सुगावा शोधण्याचे काम सुरू करावे लागेल.",2,1,2,P2R1S2,175
"After running around, 
they stumble upon a wall that matches
the description mentioned in the map.","इकडे तिकडे पळून गेल्यावर,
ते जुळणाऱ्या भिंतीवर अडखळतात
नकाशामध्ये नमूद केलेले वर्णन.",2,1,3,P2R1S3,175
"Next step is to find the room.
The room will have the next hint.","पुढील पायरी म्हणजे खोली शोधणे.
खोलीला पुढील सूचना असेल.",2,1,4,P2R1S4,175
"An envolope with the details to the task 
*Dua Lipa Levitating plays*","कार्याच्या तपशीलांसह एक लिफाफा
*दुआ लिपा लेव्हिटिंग नाटके*",2,2,5,P2R2S5,175
"A mention about Mr. K and it says, 
Be at room 320 to join the dots.","मिस्टर के. कडून एक उल्लेख आणि त्यात म्हटले आहे,
बिंदूंमध्ये सामील होण्यासाठी एक खोली ३२० व्हा.",2,2,6,P2R2S6,175
"Entering room with hope of getting 
clues.",सुगावा मिळण्याच्या आशेने खोलीत प्रवेश केला.,2,2,7,P2R2S7,175
"Mr. K explains ways to find 
answers and to solve tasks. 
The first task is to cluster. 
Second is to analysis 
Third is explore & predict.","
मिस्टर  के उत्तरे शोधण्याचे मार्ग
स्पष्ट करतात
पहिले काम म्हणजे क्लस्टर.
दुसरे कार्य म्हणजे विश्लेषण. 
तिसरे म्हणजे एक्सप्लोर.",2,2,8,P2R2S8,175
"A back story. 
Tad Nices was always bothered.
He couldn't decipher his name.","टॅड निसेसला नेहमी त्रास देत असे.
त्याला त्याच्या नावाचा उलगडा करता 
आला नाही.",2,3,9,P2R3S9,175
"He went on a quest to find himself 
& tried ways to intrepret his existance.","तो स्वतःला शोधण्याच्या शोधात निघाला
आणि त्याच्या अस्तित्वाचा अर्थ लावण्याचा
प्रयत्न केला.",2,3,10,P2R3S10,175
"He took all the paths
that became tasks for new recruites.","त्याने सर्व मार्ग काढले
जे नवीन भरतीसाठी कार्य बनले.",2,3,11,P2R3S11,175
"Always in thought.
He couldnt figure out a way out,
he asked this trio to work for him.","नेहमी विचारात.
त्याला मार्ग काढता आला नाही,
त्याने या तिघांना त्याच्यासाठी काम
करण्यास सांगितले.",2,3,12,P2R3S12,175
